IoT_0.EarthFixed.X IoT_0.EarthFixed.Y IoT_0.EarthFixed.Z IoT_1.EarthFixed.X IoT_1.EarthFixed.Y IoT_1.EarthFixed.Z IoT_2.EarthFixed.X IoT_2.EarthFixed.Y IoT_2.EarthFixed.Z IoT_3.EarthFixed.X IoT_3.EarthFixed.Y IoT_3.EarthFixed.Z IoT_4.EarthFixed.X IoT_4.EarthFixed.Y IoT_4.EarthFixed.Z IoT_5.EarthFixed.X IoT_5.EarthFixed.Y IoT_5.EarthFixed.Z IoT_6.EarthFixed.X IoT_6.EarthFixed.Y IoT_6.EarthFixed.Z IoT_7.EarthFixed.X IoT_7.EarthFixed.Y IoT_7.EarthFixed.Z IoT_8.EarthFixed.X IoT_8.EarthFixed.Y IoT_8.EarthFixed.Z IoT_9.EarthFixed.X IoT_9.EarthFixed.Y IoT_9.EarthFixed.Z
-29.32422077745041 -49.48140882133227 6377.876946259982 -571.710899406265 -28.11336179193097 6352.399463806298 4880.132410558524 -3978.777492597132 1016.985733034847 -253.4856029602423 566.9103999089606 6347.832725343718 3590.979931604263 -4194.569918084843 3192.34537518904 -64.65341222537255 667.7254807257499 6342.758491386448 -1353.263415389322 -196.066755097499 6229.836162973474 440.2114005305854 -202.7604642187702 6359.695336914372 3311.046595145122 -986.4366485784077 5361.393088041296 4975.937152315118 -997.4607699830974 3863.38506104848
-29.32422177672321 -49.48140870564852 6377.876946256284 -571.7109004015458 -28.11336167670868 6352.399463717233 4880.132410399178 -3978.777492578693 1016.985733871624 -253.485603954807 566.9104000240999 6347.832725293718 3590.979931104087 -4194.569918026946 3192.345375827749 -64.65341321914219 667.725480840797 6342.758491364207 -1353.2634163654 -196.0667549844989 6229.836162765004 440.211399534161 -202.7604641034169 6359.69533698702 3311.046594305109 -986.4366484811655 5361.393088577957 4975.937151709808 -997.4607699130287 3863.385061846191
-29.32422077745051 -49.48140882133229 6377.876946259981 -571.7108994062648 -28.11336179193099 6352.399463806298 4880.132410558521 -3978.777492597133 1016.985733034846 -253.4856029602422 566.9103999089608 6347.832725343717 3590.979931604262 -4194.569918084845 3192.345375189038 -64.65341222537262 667.7254807257501 6342.758491386447 -1353.263415389321 -196.0667550974991 6229.836162973474 440.2114005305851 -202.7604642187703 6359.69533691437 3311.046595145121 -986.436648578408 5361.393088041296 4975.937152315113 -997.4607699830976 3863.385061048479
-29.32422077745057 -49.48140882133228 6377.876946259982 -571.7108994062651 -28.11336179193098 6352.399463806298 4880.132410558524 -3978.777492597131 1016.985733034846 -253.4856029602424 566.9103999089606 6347.832725343716 3590.979931604263 -4194.569918084842 3192.345375189039 -64.65341222537269 667.7254807257498 6342.758491386448 -1353.263415389322 -196.066755097499 6229.836162973475 440.2114005305851 -202.7604642187702 6359.695336914371 3311.046595145122 -986.4366485784076 5361.393088041297 4975.937152315115 -997.4607699830974 3863.38506104848
-29.32422077745062 -49.48140882133227 6377.876946259982 -571.7108994062651 -28.11336179193099 6352.399463806297 4880.132410558524 -3978.777492597132 1016.985733034846 -253.4856029602425 566.9103999089607 6347.832725343716 3590.979931604264 -4194.569918084842 3192.345375189039 -64.65341222537276 667.7254807257499 6342.758491386446 -1353.263415389322 -196.066755097499 6229.836162973474 440.2114005305851 -202.7604642187702 6359.69533691437 3311.046595145122 -986.4366485784079 5361.393088041296 4975.937152315117 -997.4607699830975 3863.385061048478
-29.32422077745065 -49.48140882133225 6377.876946259983 -571.7108994062648 -28.11336179193097 6352.399463806299 4880.13241055852 -3978.777492597131 1016.985733034847 -253.4856029602423 566.9103999089604 6347.832725343718 3590.979931604261 -4194.569918084841 3192.34537518904 -64.65341222537276 667.7254807257498 6342.758491386448 -1353.263415389321 -196.0667550974989 6229.836162973475 440.2114005305849 -202.7604642187701 6359.695336914371 3311.046595145121 -986.4366485784074 5361.393088041299 4975.937152315113 -997.4607699830972 3863.38506104848
-29.3242207774507 -49.4814088213323 6377.876946259979 -571.7108994062651 -28.11336179193101 6352.399463806294 4880.132410558524 -3978.777492597134 1016.985733034846 -253.4856029602425 566.9103999089609 6347.832725343714 3590.979931604263 -4194.569918084844 3192.345375189037 -64.65341222537282 667.7254807257502 6342.758491386444 -1353.263415389321 -196.0667550974991 6229.836162973471 440.211400530585 -202.7604642187703 6359.695336914368 3311.046595145122 -986.4366485784083 5361.393088041294 4975.937152315116 -997.460769983098 3863.385061048477
-29.32422077745073 -49.48140882133232 6377.876946259982 -571.710899406265 -28.11336179193103 6352.399463806298 4880.132410558521 -3978.777492597134 1016.985733034846 -253.4856029602424 566.910399908961 6347.832725343716 3590.979931604261 -4194.569918084845 3192.34537518904 -64.65341222537282 667.7254807257503 6342.758491386447 -1353.263415389321 -196.0667550974992 6229.836162973474 440.2114005305849 -202.7604642187703 6359.695336914371 3311.04659514512 -986.4366485784082 5361.393088041295 4975.937152315114 -997.4607699830982 3863.385061048479
-29.32422077745007 -49.48140882133231 6377.876946259984 -571.7108994062643 -28.11336179193103 6352.399463806299 4880.132410558524 -3978.777492597133 1016.985733034847 -253.4856029602419 566.9103999089608 6347.832725343718 3590.979931604263 -4194.569918084843 3192.34537518904 -64.65341222537219 667.72548072575 6342.758491386448 -1353.263415389321 -196.0667550974991 6229.836162973475 440.2114005305856 -202.7604642187703 6359.695336914372 3311.046595145122 -986.436648578408 5361.393088041298 4975.937152315115 -997.4607699830977 3863.385061048481
-29.32422077745079 -49.48140882133228 6377.87694625998 -571.7108994062648 -28.113361791931 6352.399463806297 4880.132410558519 -3978.777492597132 1016.985733034846 -253.4856029602425 566.9103999089607 6347.832725343716 3590.97993160426 -4194.569918084843 3192.345375189038 -64.65341222537286 667.7254807257501 6342.758491386447 -1353.26341538932 -196.0667550974991 6229.836162973474 440.2114005305846 -202.7604642187702 6359.69533691437 3311.046595145119 -986.4366485784078 5361.393088041295 4975.937152315111 -997.4607699830976 3863.385061048478
